Theta,Alpha,Low_beta,High_beta,Gamma,Class
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
2.486103,2.169904,0.982197,0.342692,0.237314,steady
0.025463,0.026584,0.051958,0.050187,0.059237,steady
0.036925,0.064445,0.024556,0.032344,0.023724,steady
2.38104,1.830773,1.159586,0.491515,0.20536,steady
